109;01/05/2024 20:08:26 a  S=4;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/1;FECHA;01 05 18 | no day, 1:05:24;6;GroupValueWrite;LL_ACK
110;01/05/2024 20:10:54 a  S=6;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
111;01/05/2024 20:11:16 a  S=0;Bajo;1.1.7;Z35 ZONA 6;1/6/1;ZONA 6 - AMBIENTE;07 4E | 18,7;6;GroupValueWrite;LL_ACK
112;01/05/2024 20:12:05 a  S=2;Bajo;1.1.5;Z35 ZONA 4;1/4/1;ZONA 4 - AMBIENTE;07 44 | 18,6;6;GroupValueWrite;LL_ACK
113;01/05/2024 20:12:07 a  S=4;Bajo;1.1.4;Z35 ZONA 3;1/3/1;ZONA 3 - AMBIENTE;07 62 | 18,9;6;GroupValueWrite;LL_ACK
114;01/05/2024 20:12:10 a  S=6;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 B8 | 17,2;6;GroupValueWrite;LL_ACK
115;01/05/2024 20:12:23 a  S=0;Bajo;1.1.6;Z35 ZONA 5;1/5/1;ZONA 5 - AMBIENTE;07 BC | 19,8;6;GroupValueWrite;LL_ACK
116;01/05/2024 20:15:54 a  S=2;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
117;01/05/2024 20:16:16 a  S=4;Bajo;1.1.7;Z35 ZONA 6;1/6/1;ZONA 6 - AMBIENTE;07 4E | 18,7;6;GroupValueWrite;LL_ACK
118;01/05/2024 20:17:05 a  S=6;Bajo;1.1.5;Z35 ZONA 4;1/4/1;ZONA 4 - AMBIENTE;07 44 | 18,6;6;GroupValueWrite;LL_ACK
119;01/05/2024 20:17:07 a  S=0;Bajo;1.1.4;Z35 ZONA 3;1/3/1;ZONA 3 - AMBIENTE;07 62 | 18,9;6;GroupValueWrite;LL_ACK
120;01/05/2024 20:17:10 a  S=2;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 C2 | 17,3;6;GroupValueWrite;LL_ACK
121;01/05/2024 20:17:23 a  S=4;Bajo;1.1.6;Z35 ZONA 5;1/5/1;ZONA 5 - AMBIENTE;07 B2 | 19,7;6;GroupValueWrite;LL_ACK
122;01/05/2024 20:18:26 a  S=6;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/2;HORA;74 12 1C | Wednesday, 20:18:28;6;GroupValueWrite;LL_ACK
123;01/05/2024 20:18:26 a  S=0;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/1;FECHA;01 05 18 | no day, 1:05:24;6;GroupValueWrite;LL_ACK
124;01/05/2024 20:20:54 a  S=2;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
125;01/05/2024 20:21:16 a  S=4;Bajo;1.1.7;Z35 ZONA 6;1/6/1;ZONA 6 - AMBIENTE;07 4E | 18,7;6;GroupValueWrite;LL_ACK
126;01/05/2024 20:22:05 a  S=6;Bajo;1.1.5;Z35 ZONA 4;1/4/1;ZONA 4 - AMBIENTE;07 44 | 18,6;6;GroupValueWrite;LL_ACK
127;01/05/2024 20:22:07 a  S=0;Bajo;1.1.4;Z35 ZONA 3;1/3/1;ZONA 3 - AMBIENTE;07 62 | 18,9;6;GroupValueWrite;LL_ACK
128;01/05/2024 20:22:10 a  S=2;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 B8 | 17,2;6;GroupValueWrite;LL_ACK
129;01/05/2024 20:22:23 a  S=4;Bajo;1.1.6;Z35 ZONA 5;1/5/1;ZONA 5 - AMBIENTE;07 B2 | 19,7;6;GroupValueWrite;LL_ACK
130;01/05/2024 20:25:54 a  S=6;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
131;01/05/2024 20:26:16 a  S=0;Bajo;1.1.7;Z35 ZONA 6;1/6/1;ZONA 6 - AMBIENTE;07 44 | 18,6;6;GroupValueWrite;LL_ACK
132;01/05/2024 20:27:05 a  S=2;Bajo;1.1.5;Z35 ZONA 4;1/4/1;ZONA 4 - AMBIENTE;07 44 | 18,6;6;GroupValueWrite;LL_ACK
133;01/05/2024 20:27:07 a  S=4;Bajo;1.1.4;Z35 ZONA 3;1/3/1;ZONA 3 - AMBIENTE;07 62 | 18,9;6;GroupValueWrite;LL_ACK
134;01/05/2024 20:27:10 a  S=6;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 C2 | 17,3;6;GroupValueWrite;LL_ACK
135;01/05/2024 20:27:23 a  S=0;Bajo;1.1.6;Z35 ZONA 5;1/5/1;ZONA 5 - AMBIENTE;07 BC | 19,8;6;GroupValueWrite;LL_ACK
136;01/05/2024 20:28:26 a  S=2;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/2;HORA;74 1C 1C | Wednesday, 20:28:28;6;GroupValueWrite;LL_ACK
137;01/05/2024 20:28:26 a  S=4;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/1;FECHA;01 05 18 | no day, 1:05:24;6;GroupValueWrite;LL_ACK
138;01/05/2024 20:30:54 a  S=6;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
139;01/05/2024 20:31:16 a  S=0;Bajo;1.1.7;Z35 ZONA 6;1/6/1;ZONA 6 - AMBIENTE;07 44 | 18,6;6;GroupValueWrite;LL_ACK
140;01/05/2024 20:32:05 a  S=2;Bajo;1.1.5;Z35 ZONA 4;1/4/1;ZONA 4 - AMBIENTE;07 44 | 18,6;6;GroupValueWrite;LL_ACK
141;01/05/2024 20:32:07 a  S=4;Bajo;1.1.4;Z35 ZONA 3;1/3/1;ZONA 3 - AMBIENTE;07 62 | 18,9;6;GroupValueWrite;LL_ACK
142;01/05/2024 20:32:10 a  S=6;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 CC | 17,4;6;GroupValueWrite;LL_ACK
143;01/05/2024 20:32:23 a  S=0;Bajo;1.1.6;Z35 ZONA 5;1/5/1;ZONA 5 - AMBIENTE;07 BC | 19,8;6;GroupValueWrite;LL_ACK
144;01/05/2024 20:35:54 a  S=2;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
